,account_id,created_date,campaign
0,3842380,2021-01-01,BRA_MS1_install
1,3842381,2021-01-01,
2,3842382,2021-01-01,
3,3842383,2021-01-01,
4,3842384,2021-01-01,BRA_MS1_install
5,3842385,2021-01-01,
6,3842386,2021-01-01,
7,3842387,2021-01-01,
8,3842388,2021-01-01,
9,3842389,2021-01-01,RUS_MS1_install
10,3842390,2021-01-01,
11,3842391,2021-01-01,UKR_MS1_install
12,3842392,2021-01-01,
13,3842393,2021-01-01,
14,3842394,2021-01-01,
15,3842395,2021-01-01,
16,3842396,2021-01-01,
17,3842397,2021-01-01,
18,3842398,2021-01-01,
19,3842399,2021-01-01,BRA_MS1_install
20,3842400,2021-01-01,
21,3842401,2021-01-01,BRA_MS1_install
22,3842402,2021-01-01,BRA_MS1_install
23,3842403,2021-01-01,BRA_MS1_install
24,3842404,2021-01-01,BRA_MS1_install
25,3842405,2021-01-01,BRA_MS1_install
26,3842406,2021-01-01,
27,3842407,2021-01-01,UKR_MS1_install
28,3842408,2021-01-01,RUS_MS1_install
29,3842409,2021-01-01,RUS_MS1_install
30,3842410,2021-01-01,BRA_MS1_purchase
31,3842411,2021-01-01,BRA_MS1_install
32,3842412,2021-01-01,
33,3842413,2021-01-01,
34,3842414,2021-01-01,RUS_MS1_install
35,3842415,2021-01-01,RUS_MS1_install
36,3842416,2021-01-01,UKR_MS1_install
37,3842417,2021-01-01,UKR_MS1_install
38,3842418,2021-01-01,BRA_MS1_install
39,3842419,2021-01-01,
40,3842420,2021-01-01,
41,3842421,2021-01-01,BRA_MS1_install
42,3842422,2021-01-01,
43,3842423,2021-01-01,BRA_MS1_install
44,3842424,2021-01-01,BRA_MS1_install
45,3842425,2021-01-01,
46,3842426,2021-01-01,
47,3842427,2021-01-01,
48,3842428,2021-01-01,BRA_MS1_install
49,3842429,2021-01-01,BRA_MS1_install
50,3842430,2021-01-01,UKR_MS1_install
51,3842431,2021-01-01,
52,3842432,2021-01-01,
53,3842433,2021-01-01,
54,3842434,2021-01-01,BRA_MS1_install
55,3842435,2021-01-01,UKR_MS1_install
56,3842436,2021-01-01,BRA_MS1_install
57,3842437,2021-01-01,BRA_MS1_install
58,3842438,2021-01-01,
59,3842439,2021-01-01,UKR_MS1_install
60,3842440,2021-01-01,BRA_MS1_install
61,3842441,2021-01-01,
62,3842442,2021-01-01,BRA_MS1_install
63,3842443,2021-01-01,RUS_MS1_install
64,3842444,2021-01-01,BRA_MS1_install
65,3842445,2021-01-01,BRA_MS1_install
66,3842446,2021-01-01,BRA_MS1_install
67,3842447,2021-01-01,BRA_MS1_install
68,3842448,2021-01-01,
69,3842449,2021-01-01,
70,3842450,2021-01-01,RUS_MS1_purchase
71,3842451,2021-01-01,
72,3842452,2021-01-01,BRA_MS1_install
73,3842453,2021-01-01,
74,3842454,2021-01-01,BRA_MS1_install
75,3842455,2021-01-01,
76,3842456,2021-01-01,
77,3842457,2021-01-01,RUS_MS1_install
78,3842458,2021-01-01,
79,3842459,2021-01-01,UKR_MS1_install
80,3842460,2021-01-01,BRA_MS1_install
81,3842461,2021-01-01,RUS_MS1_install
82,3842462,2021-01-01,BRA_MS1_install
83,3842463,2021-01-01,BRA_MS1_install
84,3842464,2021-01-01,UKR_MS1_install
85,3842465,2021-01-01,BRA_MS1_install
86,3842466,2021-01-01,RUS_MS1_install
87,3842467,2021-01-01,BRA_MS1_install
88,3842468,2021-01-01,
89,3842469,2021-01-01,UKR_MS1_install
90,3842470,2021-01-01,
91,3842471,2021-01-01,BRA_MS1_install
92,3842472,2021-01-01,UKR_MS1_install
93,3842473,2021-01-01,BRA_MS1_install
94,3842474,2021-01-01,
95,3842475,2021-01-01,
96,3842476,2021-01-01,RUS_MS1_install
97,3842477,2021-01-01,BRA_MS1_install
98,3842478,2021-01-01,BRA_MS1_install
99,3842479,2021-01-01,RUS_MS1_install
100,3842480,2021-01-01,
101,3842481,2021-01-01,
102,3842482,2021-01-01,RUS_MS1_install
103,3842483,2021-01-01,BRA_MS1_install
104,3842484,2021-01-01,BRA_MS1_install
105,3842485,2021-01-01,
106,3842486,2021-01-01,UKR_MS1_install
107,3842487,2021-01-01,BRA_MS1_install
108,3842488,2021-01-01,
109,3842489,2021-01-01,
110,3842490,2021-01-01,BRA_MS1_install
111,3842491,2021-01-01,
112,3842492,2021-01-01,BRA_MS1_purchase
113,3842493,2021-01-01,RUS_MS1_install
114,3842494,2021-01-01,UKR_MS1_install
115,3842495,2021-01-01,
116,3842496,2021-01-01,BRA_MS1_install
117,3842497,2021-01-01,BRA_MS1_install
118,3842498,2021-01-01,BRA_MS1_install
119,3842499,2021-01-01,BRA_MS1_install
120,3842500,2021-01-01,
121,3842501,2021-01-01,RUS_MS1_install
122,3842502,2021-01-01,
123,3842503,2021-01-01,RUS_MS1_install
124,3842504,2021-01-01,RUS_MS1_install
125,3842505,2021-01-01,BRA_MS1_install
126,3842506,2021-01-01,RUS_MS1_install
127,3842507,2021-01-01,BRA_MS1_install
128,3842508,2021-01-01,BRA_MS1_install
129,3842509,2021-01-01,
130,3842510,2021-01-01,BRA_MS1_install
131,3842511,2021-01-01,BRA_MS1_install
132,3842512,2021-01-01,BRA_MS1_purchase
133,3842513,2021-01-01,BRA_MS1_install
134,3842514,2021-01-01,BRA_MS1_install
135,3842515,2021-01-01,RUS_MS1_install
136,3842516,2021-01-01,BRA_MS1_install
137,3842517,2021-01-01,BRA_MS1_install
138,3842518,2021-01-01,
139,3842519,2021-01-01,
140,3842520,2021-01-01,BRA_MS1_install
141,3842521,2021-01-01,BRA_MS1_install
142,3842522,2021-01-01,
143,3842523,2021-01-01,
144,3842524,2021-01-01,BRA_MS1_install
145,3842525,2021-01-01,UKR_MS1_install
146,3842526,2021-01-01,BRA_MS1_install
147,3842527,2021-01-01,BRA_MS1_install
148,3842528,2021-01-01,BRA_MS1_install
149,3842529,2021-01-01,BRA_MS1_install
150,3842530,2021-01-01,
151,3842531,2021-01-01,BRA_MS1_install
152,3842532,2021-01-01,RUS_MS1_install
153,3842533,2021-01-01,BRA_MS1_install
154,3842534,2021-01-01,
155,3842535,2021-01-01,
156,3842536,2021-01-01,
157,3842537,2021-01-01,
158,3842538,2021-01-01,BRA_MS1_install
159,3842539,2021-01-01,BRA_MS1_install
160,3842540,2021-01-01,BRA_MS1_install
161,3842541,2021-01-01,BRA_MS1_install
